;Date;Open;High;Low;Close;Adj Close;Volume;Action
180;2020-09-21;1.1846;1.1873;1.1733;1.1846;1.1846;0.0;hold
181;2020-09-22;1.1762;1.1773;1.1693;1.1768;1.1768;0.0;hold
182;2020-09-23;1.1708;1.172;1.1665;1.1708;1.1708;0.0;hold
183;2020-09-24;1.1662;1.1681;1.163;1.1659;1.1659;0.0;hold
184;2020-09-25;1.1674;1.1685;1.1613;1.1673;1.1673;0.0;hold
185;2020-09-28;1.1635;1.168;1.1617;1.1635;1.1635;0.0;hold
186;2020-09-29;1.1678;1.1742;1.1667;1.1679;1.1679;0.0;hold
187;2020-09-30;1.1743;1.1756;1.1686;1.1742;1.1742;0.0;hold
188;2020-01-10;1.1724;1.1767;1.1718;1.1726;1.1726;0.0;hold
189;2020-02-10;1.1744;1.1747;1.1697;1.1745;1.1745;0.0;hold
190;2020-05-10;1.1722;1.1797;1.1719;1.172;1.172;0.0;hold
191;2020-06-10;1.1788;1.1807;1.1767;1.1792;1.1792;0.0;hold
192;2020-07-10;1.1737;1.1781;1.1725;1.1738;1.1738;0.0;hold
193;2020-08-10;1.1766;1.1781;1.1735;1.1767;1.1767;0.0;hold
194;2020-09-10;1.1767;1.1825;1.1759;1.1767;1.1767;0.0;hold
195;2020-12-10;1.1813;1.1827;1.1788;1.1817;1.1817;0.0;hold
196;2020-10-13;1.1814;1.1814;1.1736;1.1816;1.1816;0.0;hold
197;2020-10-14;1.1744;1.177;1.1722;1.1742;1.1742;0.0;hold
198;2020-10-15;1.1748;1.1761;1.169;1.1744;1.1744;0.0;hold
199;2020-10-16;1.1706;1.1747;1.1695;1.1707;1.1707;0.0;hold
200;2020-10-19;1.1716;1.1795;1.1705;1.1716;1.1716;0.0;hold
201;2020-10-20;1.1768;1.184;1.1763;1.1769;1.1769;0.0;hold
202;2020-10-21;1.1829;1.1882;1.1829;1.183;1.183;0.0;hold
203;2020-10-22;1.1851;1.1869;1.1813;1.1854;1.1854;0.0;hold
204;2020-10-23;1.1814;1.186;1.1788;1.1815;1.1815;0.0;hold
205;2020-10-26;1.1848;1.1851;1.1804;1.1848;1.1848;0.0;hold
206;2020-10-27;1.1809;1.1838;1.1799;1.1809;1.1809;0.0;hold
207;2020-10-28;1.1782;1.1788;1.1719;1.1784;1.1784;0.0;hold
208;2020-10-29;1.1747;1.1759;1.1656;1.1749;1.1749;0.0;hold
209;2020-10-30;1.1677;1.1703;1.1643;1.1679;1.1679;0.0;hold
210;2020-02-11;1.1643;1.1657;1.1624;1.1642;1.1642;0.0;hold
211;2020-03-11;1.1643;1.1742;1.1638;1.1643;1.1643;0.0;hold
212;2020-04-11;1.1765;1.1769;1.1608;1.1762;1.1762;0.0;hold
213;2020-05-11;1.173;1.1857;1.1713;1.1733;1.1733;0.0;hold
214;2020-06-11;1.1814;1.1891;1.1796;1.1818;1.1818;0.0;hold
215;2020-09-11;1.1893;1.1919;1.1797;1.1893;1.1893;0.0;hold
216;2020-10-11;1.1823;1.1844;1.1781;1.1827;1.1827;0.0;hold
217;2020-11-11;1.182;1.1833;1.1747;1.1819;1.1819;0.0;hold
218;2020-12-11;1.1779;1.1823;1.176;1.178;1.178;0.0;hold
219;2020-11-13;1.1805;1.1834;1.18;1.1803;1.1803;0.0;hold
220;2020-11-16;1.1844;1.1869;1.1815;1.1845;1.1845;0.0;hold
221;2020-11-17;1.186;1.1893;1.1846;1.1859;1.1859;0.0;hold
222;2020-11-18;1.1864;1.1891;1.1851;1.1864;1.1864;0.0;hold
223;2020-11-19;1.1843;1.1855;1.1817;1.1848;1.1848;0.0;hold
224;2020-11-20;1.1867;1.1891;1.1852;1.1866;1.1866;0.0;hold
225;2020-11-23;1.1865;1.1906;1.1803;1.1866;1.1866;0.0;hold
226;2020-11-24;1.1842;1.1894;1.1839;1.1843;1.1843;0.0;hold
227;2020-11-25;1.1901;1.1928;1.1883;1.1901;1.1901;0.0;hold
228;2020-11-26;1.1918;1.1941;1.1887;1.192;1.192;0.0;hold
229;2020-11-27;1.1912;1.1962;1.1911;1.1916;1.1916;0.0;hold
230;2020-11-30;1.1971;1.2002;1.1944;1.1971;1.1971;0.0;hold
231;2020-01-12;1.1938;1.2054;1.1936;1.1938;1.1938;0.0;hold
232;2020-02-12;1.207;1.2107;1.2041;1.2074;1.2074;0.0;hold
233;2020-03-12;1.2113;1.2175;1.2102;1.2115;1.2115;0.0;hold
234;2020-04-12;1.2145;1.2178;1.2134;1.2146;1.2146;0.0;hold
235;2020-07-12;1.2121;1.2164;1.2081;1.2121;1.2121;0.0;hold
236;2020-08-12;1.2109;1.2134;1.2097;1.2113;1.2113;0.0;hold
237;2020-09-12;1.211;1.2149;1.2074;1.2111;1.2111;0.0;hold
238;2020-10-12;1.2082;1.2158;1.208;1.2079;1.2079;0.0;hold
239;2020-11-12;1.2143;1.2164;1.2108;1.2144;1.2144;0.0;hold
240;2020-12-14;1.2134;1.2174;1.2118;1.2133;1.2133;0.0;hold
